Orden;TPV;fecha;Creador;Estado;Negocio;Moneda;Precio
TPE-p-00000-13497;transfermovil;28 de noviembre de 2022;charlesmartinez.nurys;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13496;transfermovil;28 de noviembre de 2022;reynahunghenry;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13495;transfermovil;28 de noviembre de 2022;akseiliy.rodriguez;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13494;transfermovil;28 de noviembre de 2022;irenesflores6;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13493;transfermovil;28 de noviembre de 2022;ismelprosper;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13491;transfermovil;28 de noviembre de 2022;diannegp;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13489;transfermovil;28 de noviembre de 2022;marciae;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13481;transfermovil;28 de noviembre de 2022;liayleo;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13479;transfermovil;28 de noviembre de 2022;imandrapelaez;confirmed;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13477;transfermovil;28 de noviembre de 2022;dayanislimaguerra;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13476;transfermovil;28 de noviembre de 2022;pedruco88;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13474;transfermovil;28 de noviembre de 2022;lmariaelena279;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13472;transfermovil;28 de noviembre de 2022;yamilkamoreno0;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13470;transfermovil;28 de noviembre de 2022;agdalexisff;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13468;transfermovil;28 de noviembre de 2022;yudisleydissanchezoro;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13465;transfermovil;28 de noviembre de 2022;samy860201;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13463;transfermovil;28 de noviembre de 2022;lissy71;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13462;transfermovil;28 de noviembre de 2022;yakeniaacostavaldes;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13460;transfermovil;28 de noviembre de 2022;olgalg2004;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13457;transfermovil;28 de noviembre de 2022;dianacruzquintana;on-delivery;Tienda Virtual U...;CUP;237.11
