Orden;TPV;fecha;Creador;Estado;Negocio;Moneda;Precio;;
TPE-p-00000-07565;transfermovil;28 de octubre de 2022;ricardocanesmanuel;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07537;transfermovil;27 de octubre de 2022;drekecarmenatej;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07534;transfermovil;27 de octubre de 2022;pagoelectronico;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07531;transfermovil;27 de octubre de 2022;cbarahonaaguilera0;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07524;transfermovil;27 de octubre de 2022;cbarahonaaguilera0;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07523;transfermovil;27 de octubre de 2022;liselias181007;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07522;transfermovil;27 de octubre de 2022;pagoelectronico;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07521;transfermovil;27 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07519;transfermovil;27 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07517;transfermovil;27 de octubre de 2022;yudirafa2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07514;transfermovil;27 de octubre de 2022;yudirafa2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07392;transfermovil;27 de octubre de 2022;jose.cuervo;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07391;transfermovil;27 de octubre de 2022;yanelisfonseca76;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07389;transfermovil;27 de octubre de 2022;laryricardo73;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07387;transfermovil;27 de octubre de 2022;mariluzvelazquezvalera;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07386;transfermovil;27 de octubre de 2022;maikelochoa0981;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07385;transfermovil;27 de octubre de 2022;aniuskaavilar82;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07383;transfermovil;27 de octubre de 2022;ramon7409;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07381;transfermovil;27 de octubre de 2022;diagoarianna;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07379;transfermovil;27 de octubre de 2022;ptatiana593;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07378;transfermovil;27 de octubre de 2022;lisbetpbpsc;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07376;transfermovil;27 de octubre de 2022;jose.cuervo;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07374;transfermovil;27 de octubre de 2022;ismaeldominguezcervantes879;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07373;transfermovil;27 de octubre de 2022;liudmilacb;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07372;transfermovil;27 de octubre de 2022;erielmast;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07370;transfermovil;27 de octubre de 2022;marielarivasleyva;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07369;transfermovil;27 de octubre de 2022;diosmari70;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07368;transfermovil;27 de octubre de 2022;maribelburgueno296;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07367;transfermovil;27 de octubre de 2022;lissett9004;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07364;transfermovil;27 de octubre de 2022;yeisel216;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07362;transfermovil;27 de octubre de 2022;yailenys88;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07361;transfermovil;27 de octubre de 2022;btaniaelvira;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07359;transfermovil;27 de octubre de 2022;yhernandezlabrada;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07357;transfermovil;27 de octubre de 2022;yurdelis.mesa;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07356;transfermovil;27 de octubre de 2022;yeneyreyeslopez;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07354;transfermovil;27 de octubre de 2022;cobasyanet;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07352;transfermovil;27 de octubre de 2022;irenesflores6;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07350;transfermovil;27 de octubre de 2022;orlandgamez.20041;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07349;transfermovil;27 de octubre de 2022;nory1109;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07348;transfermovil;27 de octubre de 2022;gladiag6;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07347;transfermovil;27 de octubre de 2022;hancel1201;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07343;transfermovil;27 de octubre de 2022;ilianapy.0;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07342;transfermovil;27 de octubre de 2022;jeremifillor;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07341;transfermovil;27 de octubre de 2022;gilcruz162;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07340;transfermovil;27 de octubre de 2022;danialakeacosta;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07339;transfermovil;27 de octubre de 2022;marthajulia.cuba2022;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07337;transfermovil;27 de octubre de 2022;mileidysniurisgarciam;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07335;transfermovil;27 de octubre de 2022;yalina86;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07334;transfermovil;27 de octubre de 2022;aliciaperezsilvestre1962;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07333;transfermovil;27 de octubre de 2022;misaglez50;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07331;transfermovil;27 de octubre de 2022;hernandezidalberto62;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07330;transfermovil;27 de octubre de 2022;imandrapelaez;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07329;transfermovil;27 de octubre de 2022;annierojaslopez89;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07328;transfermovil;27 de octubre de 2022;hassanrdominguez;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07324;transfermovil;26 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07323;transfermovil;26 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07321;transfermovil;26 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
